name,age,nationality,team,mascot,position,games_played,goals,assists,points
Jordan Nolan,28,CAN,L.A,kings,C/LW/RW,46,4,4,8
Tanner Pearson,25,CAN,L.A,kings,LW,80,24,20,44
Teddy Purcell,32,CAN,L.A,kings,LW/RW,12,0,2,2
Devin Setoguchi,30,CAN,L.A,kings,RW,45,4,8,12
Nick Shore,25,USA,L.A,kings,C,70,6,11,17
Tyler Toffoli,25,CAN,L.A,kings,C/RW/LW,63,16,18,34
Dwight King,28,CAN,L.A/MTL,kings,LW/RW,80,9,7,16
Christoph Bertschy,23,CHE,MIN,wild,C,5,0,1,1
Jonas Brodin,24,SWE,MIN,wild,D,68,3,22,25
Patrick Cannone,31,USA,MIN,wild,C,3,0,0,0
Charlie Coyle,25,USA,MIN,wild,C/RW,82,18,38,56
Zac Dalpe,28,CAN,MIN,wild,C,9,1,2,3
Matt Dumba,23,CAN,MIN,wild,D,76,11,23,34
Joel Eriksson Ek,20,SWE,MIN,wild,C/RW/LW,15,3,4,7
Christian Folin,26,SWE,MIN,wild,D,51,2,6,8
Kurtis Gabriel,24,CAN,MIN,wild,RW,13,0,1,1
Mikael Granlund,25,FIN,MIN,wild,C,81,26,43,69
Tyler Graovac,24,CAN,MIN,wild,C,52,7,2,9
Erik Haula,26,FIN,MIN,wild,C/LW,72,15,11,26
Josh Jooris,27,CAN,ARI/NYR,coyotes,RW/C,54,4,8,12
Mikko Koivu,34,FIN,MIN,wild,C,80,18,40,58
Zack Mitchell,24,CAN,MIN,wild,RW,11,0,0,0
Nino Niederreiter,25,CHE,MIN,wild,RW,82,25,32,57
Gustav Olofsson,23,SWE,MIN,wild,D,13,0,3,3
Zach Parise,33,USA,MIN,wild,LW,69,19,23,42
Jason Pominville,35,CAN,MIN,wild,RW,78,13,34,47
Nate Prosser,31,USA,MIN,wild,D,39,2,5,7
Mike Reilly,24,USA,MIN,wild,D,17,1,0,1
Marco Scandella,27,CAN,MIN,wild,D,71,4,9,13
Jordan Schroeder,27,USA,MIN,wild,C/RW,37,6,7,13
Jared Spurgeon,28,CAN,MIN,wild,D,76,10,28,38
Eric Staal,33,CAN,MIN,wild,C,82,28,37,65
Chris Stewart,30,CAN,MIN,wild,RW/LW,79,13,8,21
Ryan Suter,32,USA,MIN,wild,D,82,9,31,40
Alex Tuch,21,USA,MIN,wild,RW,6,0,0,0
Ondrej Kase,22,CZE,ANA,ducks,RW,53,5,10,15
Jason Zucker,25,USA,MIN,wild,LW/RW,79,22,25,47
Nathan Beaulieu,25,CAN,MTL,canadians,D,74,4,24,28
Paul Byron,28,CAN,MTL,canadians,LW/C/RW,81,22,21,43
Clayton Keller,19,USA,ARI,coyotes,C/LW,3,0,2,2
Daniel Carr,26,CAN,MTL,canadians,LW,33,2,7,9
Phillip Danault,24,CAN,MTL,canadians,LW/C,82,13,27,40
Jacob De la Rose,22,SWE,MTL,canadians,LW,9,0,0,0
Nicolas Kerdiles,23,USA,ANA,ducks,LW,1,0,0,0
Alexei Emelin,31,RUS,MTL,canadians,D,76,2,8,10
Ryan Kesler,33,USA,ANA,ducks,C/RW,82,22,36,58
Bobby Farnham,28,USA,MTL,canadians,RW,3,0,0,0
Brian Flynn,29,USA,MTL,canadians,C/RW,51,6,4,10
Alex Galchenyuk,23,USA,MTL,canadians,C/LW,61,17,27,44
Brendan Gallagher,25,CAN,MTL,canadians,RW,64,10,19,29
Joel Hanley,26,CAN,MTL,canadians,D,7,0,0,0
Charles Hudon,23,CAN,MTL,canadians,LW,3,0,2,2
Ryan Johnston,25,CAN,MTL,canadians,D,7,0,0,0
Artturi Lehkonen,22,FIN,MTL,canadians,LW,73,18,10,28
Brett Lernout,22,CAN,MTL,canadians,D,2,0,0,0
Andrei Markov,39,RUS,MTL,canadians,D,62,6,30,36
Michael McCarron,22,USA,MTL,canadians,RW/C,31,1,4,5
Torrey Mitchell,32,CAN,MTL,canadians,C/RW,78,8,9,17
Max Pacioretty,29,USA,MTL,canadians,LW,81,35,32,67
Jeff Petry,30,USA,MTL,canadians,D,80,8,20,28
Kalle Kossila,24,FIN,ANA,ducks,LW/C,1,0,0,0
Tomas Plekanec,35,CZE,MTL,canadians,C,78,10,18,28
David Krejci,31,CZE,BOS,bruins,C,82,23,31,54
Alex Radulov,31,RUS,MTL,canadians,RW,76,18,36,54
Torey Krug,26,USA,BOS,bruins,D,81,8,43,51
Zach Redmond,29,USA,MTL,canadians,D,16,0,5,5
Nikita Scherbak,22,RUS,MTL,canadians,RW,3,1,0,1
Mikhail Sergachev,19,RUS,MTL,canadians,D,4,0,0,0
Andrew Shaw,26,CAN,MTL,canadians,C/LW/RW,68,12,17,29
Chris Terry,28,CAN,MTL,canadians,LW/RW,14,2,2,4
Shea Weber,32,CAN,MTL,canadians,D,78,17,25,42
Nikita Nesterov,24,RUS,MTL/T.B,canadians,D,48,4,13,17
Sean Kuraly,24,USA,BOS,bruins,C,8,0,1,1
Yohann Auvitu,28,FRA,N.J,devils,D/LW,25,2,2,4
Beau Bennett,26,USA,N.J,devils,RW/LW,65,8,11,19
Joseph Blandisi,23,CAN,N.J,devils,LW/C,27,3,6,9
Mike Cammalleri,35,CAN,N.J,devils,LW/C,61,10,21,31
Blake Coleman,26,USA,N.J,devils,C/LW,23,1,1,2
Luke Gazdic,28,CAN,N.J,devils,LW,11,0,0,0
Andy Greene,35,USA,N.J,devils,D,66,4,9,13
Taylor Hall,26,CAN,N.J,devils,LW/C,72,20,33,53
Seth Helgeson,27,USA,N.J,devils,D,9,1,0,1
Adam Henrique,27,CAN,N.J,devils,C,82,20,20,40
Jacob Josefson,26,SWE,N.J,devils,C/LW,38,1,9,10
Sergey Kalinin,26,RUS,N.J,devils,C/RW,43,2,2,4
Jacob Larsson,20,SWE,ANA,ducks,D,4,0,0,0
Michael Kapla,23,USA,N.J,devils,D,5,0,0,0
Nick Lappin,25,USA,N.J,devils,RW,43,4,3,7
Ben Lovejoy,33,USA,N.J,devils,D,82,1,6,7
Jon Merrill,25,USA,N.J,devils,D,51,1,5,6
